# English language
978953 10-14
978953 150-479
978953 48000-49999
978953 500-500
978953 50100-50999
978953 51-54
978953 55000-59999
978953 6000-9499
978953 95000-99999
# Bulgaria
978954 00-28
978954 2900-2999
978954 300-799
978954 8000-8999
978954 90000-92999
978954 9300-9999
# Sri Lanka
978955 0000-1999
978955 20-33
978955 3400-3499
978955 3500-3549
978955 35500-35999
978955 3600-3799
978955 38000-38999
978955 3900-4099
978955 41000-44999
978955 4500-4999
978955 50000-54999
978955 550-712
978955 71300-71499
978955 7150-9499
978955 95000-99999
# Chile
978956 00-08
978956 09000-09999
978956 10-19
978956 200-599
978956 6000-6999
978956 7000-9999
# Taiwan
978957 00-02
978957 0300-0499
978957 05-19
978957 2000-2099
978957 21-27
978957 28000-30999
978957 31-43
978957 440-819
978957 8200-9699
978957 97000-99999
# Colombia
978958 00-53
978958 5400-5599
978958 56000-56999
978958 57000-59999
978958 600-799
978958 8000-9499
978958 95000-99999
# Cuba
978959 00-19
978959 200-699
978959 7000-8499
978959 85000-99999
# Greece
978960 00-19
978960 200-659
978960 6600-6899
978960 690-699
978960 7000-8499
978960 85000-92999
978960 93-93
978960 9400-9799
978960 98000-99999
# Slovenia
978961 00-19
978961 200-599
978961 6000-8999
978961 90000-94999
# Hong Kong, China
978962 00-19
978962 200-699
978962 7000-8499
978962 85000-86999
978962 8700-8999
978962 900-999
# Hungary
978963 00-19
978963 200-699
978963 7000-8499
978963 85000-89999
978963 9000-9999
# Iran
978964 00-14
978964 150-249
978964 2500-2999
978964 300-549
978964 5500-8999
978964 90000-96999
978964 970-989
978964 9900-9999
# Israel
978965 00-19
978965 200-599
978965 7000-7999
978965 90000-99999
# Ukraine
978966 00-12
978966 130-139
978966 14-14
978966 1500-1699
978966 170-199
978966 2000-2789
978966 279-289
978966 2900-2999
978966 300-699
978966 7000-8999
978966 90000-90999
978966 910-949
978966 95000-97999
978966 980-999
# Malaysia
978967 00-00
978967 0100-0999
978967 10000-19999
978967 2000-2499
978967 300-499
978967 5000-5999
978967 60-89
978967 900-989
978967 9900-9989
978967 99900-99999
# Mexico
978968 01-39
978968 400-499
978968 5000-7999
978968 800-899
978968 9000-9999
# Pakistan
978969 0-1
978969 20-22
978969 23000-23999
978969 24-39
978969 400-749
978969 7500-9999
# Mexico
978970 01-59
978970 600-899
978970 9000-9099
978970 91000-96999
978970 9700-9999
# Philippines
978971 000-015
978971 0160-0199
978971 02-02
978971 0300-0599
978971 06-49
978971 500-849
978971 8500-9099
978971 91000-95999
978971 9600-9699
978971 97-98
978971 9900-9999
# Portugal
978972 0-1
978972 20-54
978972 550-799
978972 8000-9499
978972 95000-99999
# Romania
978973 0-0
978973 100-169
978973 1700-1999
978973 20-54
978973 550-759
978973 7600-8499
